UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Lovaditya Dhika,@lovaditya,2021-04-29T11:21:06.000Z,bales chat panda edisi mikir bgt myampe baru sempet ngunyah kurma sekarang,,,,,,[],https://twitter.com/lovaditya/status/1387728644303331328
𝐿𝑜𝓋𝑒°𝓂𝓎𝓈𝑒𝓁𝒻,@Henny_purlina,2021-04-29T12:06:34.000Z,Maem kurma purun ?,,😌 💜,,,,[],https://twitter.com/Henny_purlina/status/1387740087891369985
