UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,keyword
Tokopedia,@tokopedia,2021-04-23T12:16:38.000Z,"Menangkan SAMSUNG A80
Cara ikutannya  
1. FOLLOW TWITTER 
@tokopedia
  
2. RT dan LIKE tweet ini  
3. Reply “Selalu Ada Selalu Bisa” dan gunakan hashtag #WIBSpesialRamadan #TerimakasihMinto #AmankanRemoteTV",,💜 💜,30.5K,5.7K,8.4K,['https://pbs.twimg.com/media/EzqC-4uUYAIHKKW?format=jpg&name=small'],https://twitter.com/tokopedia/status/1385568293432397826,gorengan
Gorengan bakwan 500an,@BakwanEskrim,2021-04-24T09:47:50.000Z,"Bismillah...
Selalu Ada Selalu Bisa
#WIBSpesialRamadan #TerimakasihMinto #AmankanRemoteTV",,,,,,[],https://twitter.com/BakwanEskrim/status/1385893233939476481,gorengan
Gorengan bakwan 500an,@BakwanEskrim,2021-04-25T09:57:46.000Z,"Replying to 
@tokopedia","BISMILLAH INSYAALLAH MENANG
TOKOPEDIA PLAY
#BTSdiTokopediaPlay #Cuma20Ribu",,,,,[],https://twitter.com/BakwanEskrim/status/1386258120452689925,gorengan
Gorengan bakwan 500an,@BakwanEskrim,2021-04-25T09:56:44.000Z,"Replying to 
@tokopedia","Bismillah insyaAllah menang 
TOKOPEDIA PLAY #BTSdiTokopediaPlay #Cuma20Ribu",,,,,[],https://twitter.com/BakwanEskrim/status/1386257860892401669,gorengan
TOM'S,@RonoReneRemen,2021-04-14T13:19:25.000Z,"Replying to 
@greentteaaa",Lha nk sing enak digawe kolak sing jenis opo mbak?? ,😅,,,,[],https://twitter.com/RonoReneRemen/status/1382322602165686275,kolak
Mita Wullur,@MitaWullur,2021-04-16T00:00:47.000Z,"Selamat pagi.... hari ini Jumat ya... yuuuk ah aku ada 50rb buat dua orang buat beli kolak ato es buah di gerobak mamang sebelah. 

Gopay aja ya... cuma jawab mau... kalo nggak mau juga nggak apa.. aku jajan sendiri aja 
End jam 15.00 biar sempet beli nya",,😎,175,85,156,['https://pbs.twimg.com/media/EzDbdyfUYAUteIn?format=jpg&name=small'],https://twitter.com/MitaWullur/status/1382846395162394626,kolak
diah wulandari,@subindiahneelam,2021-04-16T00:07:42.000Z,"Mauuuuuuuu makek kebangetan mom 
,
Jadi pengen sahur 1xn berbuka puasa skg ngliat kolak pisang + es campur ny mommy 
,",,💃 💃 💃 💃 💃 💃 🤣 🤣 🤣 🤣 🙈,,,1,[],https://twitter.com/subindiahneelam/status/1382848135131664385,kolak
AMA,@af_if,2021-04-15T12:52:24.000Z,"Replying to 
@amippr",Pemburu kolak ,🤣 🤣,,,,[],https://twitter.com/af_if/status/1382678192914239491,kolak
diah wulandari,@subindiahneelam,2021-04-16T00:08:52.000Z,"Nyoooook merapat nyooook kolak pisang n es campurny dah menanti 
,","Quote Tweet
Mita Wullur
@MitaWullur
 · 16 Apr
Selamat pagi.... hari ini Jumat ya... yuuuk ah aku ada 50rb buat dua orang buat beli kolak ato es buah di gerobak mamang sebelah. 

Gopay aja ya... cuma jawab mau... kalo nggak mau juga nggak apa.. aku jajan sendiri aja 
End jam 15.00 biar sempet beli nya",💃 💃 💃 💃 💃 😎,,,2,"['https://pbs.twimg.com/profile_images/914272883618201601/dQAJ0v2U_mini.jpg', 'https://pbs.twimg.com/media/EzDbdyfUYAUteIn?format=jpg&name=small']",https://twitter.com/subindiahneelam/status/1382848430842683392,kolak
Nasgor Tiarbah Semarang,@nastisemarang,2021-04-23T07:49:33.000Z,"Setelah kemarin bermain dengan sirup, hari ini mainannya santan.
Gapapa ya 

Kolak Pisang Waluh Kolang-Kaling

yuk mulai pesen di 
@nasgortiarbah
 Semarang
http://bit.ly/Gosemego

buka puasa ga ribet, masih dapet takjil kolak",,,,3,1,"['https://pbs.twimg.com/media/EzpJ2YLVoAEjwMd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EzpJ2nXUYAYz1hn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EzpJ4RAUYAQtFXF?format=jpg&name=small']",https://twitter.com/nastisemarang/status/1385501080700682243,kolak
