UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,keyword
Babal,@lala_laticia,2021-04-12T05:04:58.000Z,"Selamat datang es cincau, es tahu dan es cendol",,🥳,,,,[],https://twitter.com/lala_laticia/status/1381473393455689731,es cincau
May the Force Be With You,@bung_iron,2021-04-12T04:35:21.000Z,awak kira es cincau gan :))),"Quote Tweet
Tasty Japan
@TastyJapan
 · 12 Apr
おもてなしに♪ モザイク抹茶ミルクかん",😍 🍵,,,,"['https://pbs.twimg.com/profile_images/1351692204520034305/oGfyHw_u_mini.jpg', 'https://pbs.twimg.com/media/EyvsT6CVEAEginL.jpg']",https://twitter.com/bung_iron/status/1381465943138652165,es cincau
wándá_ibu_gawl,@CEOSEUNGWAN94,2021-04-12T14:46:32.000Z,"open bo es cincau seger dari sumbernya

fresh from kulkas
udh disterilkan

khasiat: bisa melepaskan dahaga ketika emosyen waktu kelahi dengan bebev
bisa dijadiin minuman fav untuk yg terkasih
bisa aja semuanya sih

order? dm ajj sis",,,1.0,1.0,,['https://pbs.twimg.com/media/Eyx_189U4AQWRKB?format=jpg&name=360x360'],https://twitter.com/CEOSEUNGWAN94/status/1381619752649433089,es cincau
Karina_IBU_GAWL,@CEOKARINA00,2021-04-12T15:13:04.000Z,SEMANGAT BENER ES CINCAU INI WKWKWK,"Quote Tweet
wándá_ibu_gawl
@CEOSEUNGWAN94
 · 12 Apr
Replying to @selfoli
HADIR",,,1.0,,['https://pbs.twimg.com/profile_images/1389764141640871941/wG5gudy7_mini.jpg'],https://twitter.com/CEOKARINA00/status/1381626427242475527,es cincau
wándá_ibu_gawl,@CEOSEUNGWAN94,2021-04-12T14:42:08.000Z,astagfirullah es cincau gaboleh seperti itu,"Quote Tweet
wándá_ibu_gawl
@CEOSEUNGWAN94
 · 12 Apr
es cincau mau jual diri aja",,2.0,,,['https://pbs.twimg.com/profile_images/1389764141640871941/wG5gudy7_mini.jpg'],https://twitter.com/CEOSEUNGWAN94/status/1381618641767067649,es cincau
Yeri,@AKUYERIM99,2021-04-12T16:54:25.000Z,"teh es cincau haruskah aku nyanyi ""matamu melemahkanku~"" ?
@CEOSEUNGWAN94","From 
라손",📌,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1164425991076233216/pu/img/5566exwBMnBSjD08.jpg'],https://twitter.com/AKUYERIM99/status/1381651935325876229,es cincau
Ray,@Raykonstruksi,2021-04-12T22:48:49.000Z,"Orang kalo buka puasa makan kurma, cincau, es buah. Kalo aku ngga, aku mah suit. Suit kan manis.

Selamat Berpuasa~",,,,,,[],https://twitter.com/Raykonstruksi/status/1381741121303277568,es cincau
aida,@winmtwnv,2021-04-12T09:08:05.000Z,"gw besok mau beli kolak, cincau, es buah, risol, pastel, mendoan, tahu isi, tahu petis, sama bakwan muehehehehehehehe",,,,,,[],https://twitter.com/winmtwnv/status/1381534575541673985,es cincau
mariaً⁷ (°3°),@vantaekoo7,2021-04-23T08:30:52.000Z,"Es cincau
I vote #Dynamite for #BestMusicVideo at the 2021 #iHeartAwards 
@BTS_twt",,🧈,,1.0,,[],https://twitter.com/vantaekoo7/status/1385511477738557442,es cincau
李安,@duhbct,2021-04-23T10:04:00.000Z,"sore ini aku bikin tahu walik cireng 
lg bosen takjil yg manis manis mulu.

barusan bikin es cincau susu juga tp males ngefoto nya. kalian beli takjil apa?",,😍,1.0,2.0,18,"['https://pbs.twimg.com/media/EzpolyXUcAAKJfy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ezpoly7VkAEDSPQ?format=jpg&name=360x360']",https://twitter.com/duhbct/status/1385534915811311619,es cincau
andrian (Mr.Cabe/Mr.Chilli/haruto wizard),@IanSyafpu,2021-04-23T11:03:15.000Z,"Es cincau kelapa muda 

Selamat berbuka puasa ~~~~",,,,1.0,2,['https://pbs.twimg.com/media/Ezp2OJ2VEAQbzT9?format=jpg&name=900x900'],https://twitter.com/IanSyafpu/status/1385549824888430592,es cincau
Wem,@wmindrayanti17,2021-04-23T14:02:30.000Z,Diet es gagal hari inj gara2 es cincau. Besok es apa lagi yaa enaknya??,,,1.0,,,[],https://twitter.com/wmindrayanti17/status/1385594934875463680,es cincau
Egi.,@scragy_,2021-04-23T16:57:56.000Z,Kamu terlalu boba buat aku yang es cincau,,,,,,[],https://twitter.com/scragy_/status/1385639083183992835,es cincau
ey~,@alsmdsptn,2021-04-23T09:59:02.000Z,"es buah, es dawet, es doger, es cincau, es sirup, es es es lainnya mah lewattttt
love es teh so so luch ",,😘,1.0,,,['https://pbs.twimg.com/media/EzpnhgoVkAE6h09?format=jpg&name=900x900'],https://twitter.com/alsmdsptn/status/1385533667255078913,es cincau
ubi,@capemikirusn,2021-04-23T02:25:12.000Z,"di akun fangirl gue pada mmpermasalahkan g prnah bli sbux wkwk
untuk saat ini ya gue sadar kantong gue gbisa beli mnuman mahal dan gue blm kerja cukkk, bisa beli es cincau/boba seharga 5rb doang gue dah seneng. wkwk tpi yagitulah orang” berkecukupan pasti yaa anu. 
senyumin aja",,🍠,,1.0,1,[],https://twitter.com/capemikirusn/status/1385419454847217669,es cincau
hellen ⋆ jungkook misser,@hugtaeby,2021-04-23T08:47:21.000Z,mau es cincau,,😫,,,,[],https://twitter.com/hugtaeby/status/1385515626995744768,es cincau
wahyu arianti,@gabund__,2021-04-23T01:25:07.000Z,pengen bikin es cincau/es dawet sendiri,,,,,,[],https://twitter.com/gabund__/status/1385404334112841734,es cincau
•ᴗ•,@skgydalr,2021-04-23T04:19:28.000Z,"adek gw : kak dedek mau puasa sampe sore, soalnya kan 2 hari kemarin ga puasa

adek gw 30 menit kemudian : mama mau es cincau dedek aus 
 siapa tadi yg bilang mau puasa ampe sore?????",,😭 😭 😭 😭,,,,[],https://twitter.com/skgydalr/status/1385448209430896641,es cincau
Cesya Ifni Fadhillah,@Cesyaif,2021-04-23T10:41:14.000Z,"Baru kesampean, nemu abang cincau didpn komplek
 : Bang beli satu tp gapake cincau ya
 : hah gimana neng? Gapake cincau? Esnya aja gt?
 : iyaa hahaha

Trs yaudh gue ketawa2 aja sm abangnya, hbs gue ga suka cincaunya, tp pen es cincau","Quote Tweet
Cesya Ifni Fadhillah
@Cesyaif
 · 22 Apr
Kenya tar bukaan mo nyari es cincau ga pake cincau deh, udh ngebayangin dr skrng soalnya wkwk.",👩 👩,,,,"['https://pbs.twimg.com/media/EzpxLmIVcAA5YXw?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/1363855229096054784/wg2AbfVV_mini.jpg']",https://twitter.com/Cesyaif/status/1385544283822837764,es cincau
Hala,@halabum,2021-04-23T08:16:28.000Z,buka puasa sama nutri sari jeruk nipis aja deh. bye bye es cincau kolang kaling ,,👋,,,,[],https://twitter.com/halabum/status/1385507852131786756,es cincau
Sabrinaa,@sabrinasapu,2021-04-23T08:26:52.000Z,"Terpingin buka puasa pakai es cincau hijau dari kemarin ternyata ada di sekitaran tj sari 
 dan baru tau selama hampir setahun tinggal disini.yaampun...",,🥲,,,,[],https://twitter.com/sabrinasapu/status/1385510470266679298,es cincau
Mr Fiend,@FoolishlyFiend,2021-04-25T19:45:29.000Z,"Height        : 173cm
Age             : Almost 31
Shoes size : 44-45
Zodiac        : Cancer
Tattos         : -
Piercings    : -
Fav drink    : Es teh/Nutrisari rasa cincau
Fav food     : Indomie/Martabak/Pasta
Fav animal  : Rhinoceros/Turtle","Quote Tweet
Kardus Indomie
@atemyassh
 · 26 Apr
Height        : 170cm
Age             : 20 otw 21
Shoes size : 26,5cm
Zodiac        : Gemini
Tattos         : -
Piercings    : -
Fav drink    : coffee/vodka/es teh manis
Fav food     : apa aja asal bkn keju/daging
Fav animal  : cat twitter.com/ImLucisFerre/s…",💃,,,,['https://pbs.twimg.com/profile_images/1388582568937721856/UHfxi5Jz_mini.jpg'],https://twitter.com/FoolishlyFiend/status/1386406027633909761,es cincau
O k i n,@xxxjeurleys,2021-04-25T11:10:39.000Z,Beli es cincau kok biasanya bayar 5 rb. Kok ini tumben cuman bayar 3 rb,,🙃,,,,[],https://twitter.com/xxxjeurleys/status/1386276462500597763,es cincau
Anin~,@aninpn,2021-04-25T11:53:27.000Z,Es cincau + cireng isi mbak imah = perpaduan terbaik,,💛 💛,,,,[],https://twitter.com/aninpn/status/1386287235759108097,es cincau
aca,@abcmasaa,2021-04-25T15:33:39.000Z,ya Allah pengen es cincau :( gara2 muncul di TL,,,,,,[],https://twitter.com/abcmasaa/status/1386342650035326979,es cincau
Kebo Hong An,@sarapan1_3malam,2021-04-25T10:39:42.000Z,Ngabuburide hari ini gagal dapetin es cincau hijau,,☯,1.0,,,[],https://twitter.com/sarapan1_3malam/status/1386268677406789632,es cincau
len alen alen alen,@eitasimp_,2021-04-25T10:37:03.000Z,"sumpah gue beli es cappucino cincau, cincau nya dikit bgt ajg ",,😩,3.0,,,[],https://twitter.com/eitasimp_/status/1386268009077960707,es cincau
juminiii,@juminiii,2021-04-25T16:39:30.000Z,"Petaka emang mimik es cincau buat takjil.
Udah makan tapi tetep kliyengan",,,1.0,,,[],https://twitter.com/juminiii/status/1386359220178620417,es cincau
Dillo,@elysianjyh,2021-04-25T09:12:54.000Z,Kaya es cincau,,,,,,"['https://pbs.twimg.com/media/EzzwJAIUYAMXGwj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EzzwJUfUcAAr94Y?format=jpg&name=360x360']",https://twitter.com/elysianjyh/status/1386246830694879238,es cincau
Vato Yulianto,@vato_yulianto,2021-04-25T11:24:10.000Z,"Gorengan 3, nasi nambah 2piring, es cincau, teh manis anget, ditutup dengan beng-beng dingin,, ",,😁 😁,,,,[],https://twitter.com/vato_yulianto/status/1386279865825992708,es cincau
카린,@kayentale,2021-04-25T10:59:49.000Z,"Baca ini lagi minum es cincau, asli kesedak..woi.","Quote Tweet
d h i l s ☽
@GyulaliJaeruk
 · 25 Apr
Sungjin balik wamil, kangwondo baru wamil. Tinggal parkbross. Wadaw seru nih bakal ada unit baru. Jadi duo. Ntar namanya The Perjaka bagus juga. Biar kek Mitha sama Dara xixixixixi",🐋,,,,['https://pbs.twimg.com/profile_images/1386677573778690050/mes25ET0_mini.jpg'],https://twitter.com/kayentale/status/1386273739088699397,es cincau
INGETIN AL MAU NABUNG!!!,@doainbuatkefm,2021-04-25T03:54:36.000Z,"Aku juga suka cendol, aku mauuuu es cincau, mau juga yang dijadiin alasan pulang cepet, yang ditanya pertama kali terus digemes gemesin, mau disisirin juga, disuapin tuh enakkk

Tapi sayangnya aku anak sulung",,,,,,[],https://twitter.com/doainbuatkefm/status/1386166727956865034,es cincau
Mase,@HangkaMMI,2021-04-25T08:25:52.000Z,"Ada es cincau lewat tetep harus tahan godaan. Mereka yang kurang beruntung aja bisa tahan godaan kok. Eh, lebih tepatnya mau beli gak punya uang dong. Oh kesenjangan.",,,,,1,[],https://twitter.com/HangkaMMI/status/1386234993194659845,es cincau
MuSaFiR NeGeri,@taufikaris1613,2021-04-25T09:51:13.000Z,"Mulai otak disuruh memikirkan yg seger².
Coba cincau diiris tipis², dikasih kopi nescafe+yakult, kasih toping es cream....buka puasa serasa di Cafe...geser juga.",,,1.0,,9,[],https://twitter.com/taufikaris1613/status/1386256473110433792,es cincau
𝕔𝕝𝕠𝕦𝕕𝕪,@cloudbabbies,2021-04-25T03:38:04.000Z,ini es nya yg bermasalah atau tenggorokan ak yg sensitif anjrt? masa minum es cincau gada 250ml lqngsung jenggong jenggong su,,☂,,,,[],https://twitter.com/cloudbabbies/status/1386162567085580291,es cincau
winn,@winsolution22,2021-04-25T07:30:44.000Z,bm es cincau sama kripik kaca,,,1.0,,,[],https://twitter.com/winsolution22/status/1386221119783329792,es cincau
